Entry_id,Title,Description,Published Date,Location,URL
h1459489,Vi søger TØMRERE  makkerpar,Vi har travlt og søger derfor dygtige og selvstændige tømrere  alsidige håndværkere ,2024-04-11,Jyderup,https://www.jobindex.dk/vis-job/h1459489
h1459486,Teamkoordinator,Vil du være med til at levere support og understøtte customer succes hos vores kunder,2024-04-11,Aarhus C,https://www.jobindex.dk/vis-job/h1459486
h1459484,ZBC søger timelærer inden for uddannelserne kok tjener receptionist og ernæringsassistent,Vi tilbyder dig et spændende og inspirerende job der vil give dig faglige og pædagogiske udfordringer med gode muligheder for personlig udvikling,2024-04-11,Roskilde,https://www.jobindex.dk/vis-job/h1459484
h1459482,Customer Succes Manager,Vil du være med til at levere support og understøtte customer succes hos vores kunder Evovia udvikler og leverer digitale ledelsesredskaber som gør det nemmere for ledere at udøve den ledelse som de ønsker,2024-04-11,Aarhus C,https://www.jobindex.dk/vis-job/h1459482
h1459481,Kontorelev  skab din egen karriere hos Bovia,Banker dit hjerte for enestående serviceoplevelser Trives du i en dynamisk hverdag hvor kommunikation med mennesker fra forskellige samfundslag er en naturlig del og mestrer du det administrative,2024-04-11,Kolding,https://www.jobindex.dk/vis-job/h1459481
h1459478,Sikkerhedsvagter til Ambassade i København,Drømmer du om en spændende og alsidig hverdag som vagt i verdens største sikkerhedsvirksomhed,2024-04-11,København Ø,https://www.jobindex.dk/vis-job/h1459478
h1459473,Automatiktekniker  Jylland,Vi søger en selvstændig kvalitetsbevidst og systematisk automatikfagtekniker styrings og reguleringselektriker automationsteknolog eller maskinmester til design og projektering af styretavler inden for brandtekniske ventilationsløsninger,2024-04-11,Thorsø,https://www.jobindex.dk/vis-job/h1459473
h1459472,Udbuds og kvalitetsansvarlig tovholder på vikarudbud i Danmark og Norge,Du vil blive ansvarlig for planlægning og styring af udbudsarbejdsgruppen og du sikrer at vi kommer i mål med tilbudsskrivning Derudover vil du også blive kontraktansvarlig skabe struktur og overblik på kundekontrakter sikre indeksering herunder overensstemmelse mellem prisaftaler på kunderne og vilkår i kontrakterne,2024-04-11,Esbjerg,https://www.jobindex.dk/vis-job/h1459472
h1459471,Produktudvikler,Vi leder efter den bærende drivkraft bag vores nye koncept indenfor Cleaning Solutions Et nyt produkt med et betydeligt grønt aftryk der vil gøre en forskel i forhold til genbrug af trykt plastikemballage folie ved at vaske materialet og upcycle det til nyt og genbrugeligt materiale,2024-04-11,Skødstrup,https://www.jobindex.dk/vis-job/h1459471
h1459470,Entusiastisk Junior DevOpskonsulent til innovativt SaaSprojekt,Er du nyuddannet eller i starten af din karriere og brænder du for en fremtid inden for DevOps Så er du måske vores nye Junior DevOpskonsulent,2024-04-11,Vejle eller Aalborg SV,https://www.jobindex.dk/vis-job/h1459470
h1459468,Business Controller til Økonomiafdelingen i Ejendomsstyrelsen,Du vil blive tilknyttet en sektion på 9 medarbejdere der til daglig bla understøtter Ejendomsstyrelsen med afholdelse af økonomimøder assistere med udarbejdelse og opfølgning af budgetter Du vil primært yde support og rådgive den del af Ejendomsstyrelsen der håndterer vedligeholdelse af Forsvarets bygninger og anlæg,2024-04-11,Hjørring,https://www.jobindex.dk/vis-job/h1459468
h1459467,IAMmedarbejder,Vil du bidrage til forebyggelse af intern svindel og være med til løsningen af it adgangs brugerstyrings og sikkerhedsopgaver og projekter med høj samfundsrelevans Vil du arbejde med adgangsstyring og sikkerhed i en kompleks organisation med stor variation i opgaverne,2024-04-11,Frederiksberg,https://www.jobindex.dk/vis-job/h1459467
h1459463,Driftsleder til driftsfællesskab Bispebjerg,Kan du holde mange bolde i luften  samtidig med at du er smilende og nærværende,2024-04-11,København NV,https://www.jobindex.dk/vis-job/h1459463
h1459462,Socialfaglig medarbejder til varmestuerne i Aalborg og Nørresundby,Du kommer til at bidrage til at skabe en dagvarmestue med tryghed og ro hvor brugerne kan opleve at høre til og hvor vores værdier nærvær omsorg og respekt præger din tilgang til arbejdet Din opgave er derudover at hjælpe brugerne med at løse basale behov samt hjælpe med at etablere kontakt til relevante sundhedstilbud og offentlige myndigheder,2024-04-11,Aalborg og Nørresundby,https://www.jobindex.dk/vis-job/h1459462
h1459460,Træningscenter Brøndby søger en receptionistadministrativ medarbejder,Brænder du for og har du erfaring med at være stemmen og ansigtet udadtil og er hurtig og dygtig til at jonglere i systemer så har du chancen for at få en spændende stilling i Træningscenter Brøndby,2024-04-11,Brøndby,https://www.jobindex.dk/vis-job/h1459460
h1459459,Tranbjergskolen søger pædagogisk leder til indskolingen 24 klassetrin,Har du lyst til at stå i spidsen for en stor indskolingsafdeling i Tranbjerg Du bliver leder for en flok dedikerede medarbejdere der er klar til at give følgeskab til en retningssættende synlig og struktureret pædagogisk leder,2024-04-11,Tranbjerg J,https://www.jobindex.dk/vis-job/h1459459
h1459455,ITS Teknik søger serviceteknikere i Roskilde,Vil du være en del af en dansk virksomhed hvor medarbejdernes trivsel og kundernes glæde er i førersædet,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459455
